epoch,elapsed_sec,epoch_duration_sec,samples_per_sec,train_loss,val_loss,train_top1_acc,val_top1_acc,val_top5_acc,train_micro_f1,train_macro_f1,val_micro_f1,val_macro_f1,grad_norm,lr
1,99.49,99.49,261.55,4.050522,3.878644,0.06837,0.107796,0.31446,0.06837,0.048328,0.107796,0.067239,2.560186,0.001
2,200.66,101.1,257.38,3.742067,3.665335,0.136011,0.156141,0.413763,0.136011,0.10345,0.156141,0.105938,2.632454,0.001
3,300.0,99.26,262.15,3.58881,3.560303,0.167064,0.172909,0.449913,0.167064,0.133919,0.172909,0.133114,2.63003,0.001
4,397.35,97.29,267.46,3.4493,3.448931,0.204573,0.205357,0.488894,0.204573,0.17102,0.205357,0.162386,2.694833,0.001
5,494.39,96.97,268.33,3.339156,3.325488,0.231207,0.235845,0.536803,0.231207,0.19865,0.235845,0.197254,2.649213,0.001
6,594.99,100.53,258.83,3.242071,3.280743,0.258378,0.252613,0.552483,0.258378,0.226255,0.252613,0.209125,2.677221,0.001
7,694.3,99.23,262.22,3.149951,3.204128,0.28359,0.271995,0.57034,0.28359,0.253938,0.271995,0.243114,2.629616,0.001
8,793.81,99.44,261.68,3.089576,3.335016,0.301768,0.253049,0.556185,0.301768,0.274592,0.253049,0.221184,2.658211,0.001
9,892.91,99.07,262.64,3.009074,3.116561,0.323213,0.305531,0.601916,0.323213,0.29796,0.305531,0.279814,2.610835,0.001
10,991.75,98.77,263.44,2.95133,3.09504,0.339047,0.308798,0.60453,0.339047,0.314272,0.308798,0.286649,2.648345,0.0005
11,1091.29,99.47,261.59,2.794571,2.885177,0.386126,0.363894,0.667683,0.386126,0.361718,0.363894,0.333249,2.587808,0.0005
12,1193.97,102.59,253.64,2.743817,2.871632,0.401806,0.363676,0.673345,0.401806,0.377914,0.363676,0.33925,2.690027,0.0005
13,1296.74,102.7,253.36,2.703809,2.866718,0.412298,0.370645,0.674216,0.412298,0.38942,0.370645,0.349125,2.761206,0.0005
14,1398.88,102.07,254.93,2.66641,2.783162,0.421407,0.402003,0.698389,0.421407,0.399561,0.402003,0.377466,2.843429,0.0005
15,1500.6,101.65,255.97,2.630513,2.806478,0.435165,0.394599,0.692073,0.435165,0.414928,0.394599,0.372332,2.919909,0.0005
16,1601.62,100.98,257.67,2.598389,2.799377,0.444043,0.393728,0.69338,0.444043,0.422805,0.393728,0.363906,2.955791,0.0005
17,1702.98,101.33,256.78,2.555289,2.76238,0.461875,0.401568,0.703397,0.461875,0.442884,0.401568,0.378437,3.001665,0.0005
18,1804.88,101.83,255.53,2.520004,2.737842,0.466833,0.41507,0.71189,0.466833,0.448013,0.41507,0.396773,3.034249,0.0005
19,1905.94,100.98,257.66,2.497447,2.717456,0.473405,0.420949,0.714286,0.473405,0.454989,0.420949,0.399224,3.084255,0.0005
20,2007.91,101.9,255.35,2.466834,2.718556,0.48578,0.421385,0.717552,0.48578,0.466901,0.421385,0.394324,3.156875,0.00025
21,2110.2,102.25,254.47,2.370256,2.641494,0.516487,0.453179,0.734321,0.516487,0.497997,0.453179,0.43411,3.082226,0.00025
22,2212.52,102.25,254.48,2.334546,2.635391,0.527902,0.448824,0.730836,0.527902,0.509645,0.448824,0.42994,3.174242,0.00025
23,2314.13,101.58,256.15,2.310169,2.636216,0.534012,0.453615,0.737369,0.534012,0.517236,0.453615,0.434085,3.237921,0.00025
24,2415.91,101.75,255.73,2.291145,2.628927,0.53947,0.444469,0.732796,0.53947,0.521058,0.444469,0.429157,3.293855,0.00025
25,2516.65,100.71,258.36,2.275172,2.634469,0.544812,0.447735,0.734321,0.544812,0.52759,0.447735,0.431075,3.364141,0.00025
26,2617.77,101.09,257.4,2.262542,2.614379,0.547733,0.460584,0.738458,0.547733,0.530836,0.460584,0.440577,3.42083,0.00025
27,2719.49,101.65,255.99,2.234412,2.616448,0.556188,0.462979,0.734538,0.556188,0.540024,0.462979,0.444379,3.450643,0.00025
28,2821.64,102.07,254.92,2.222032,2.591931,0.561952,0.465592,0.742814,0.561952,0.54553,0.465592,0.450717,3.514095,0.00025
29,2923.58,101.87,255.43,2.208998,2.609262,0.564527,0.458841,0.7402,0.564527,0.54852,0.458841,0.443509,3.568309,0.00025
30,3025.4,101.78,255.65,2.189885,2.591682,0.567948,0.460801,0.747822,0.567948,0.551574,0.460801,0.442783,3.611114,0.000125
31,3128.34,102.92,252.82,2.13217,2.562738,0.594235,0.477787,0.755444,0.594235,0.578685,0.477787,0.46169,3.570166,0.000125
32,3229.53,101.12,257.32,2.108338,2.564543,0.598463,0.474739,0.760889,0.598463,0.582735,0.474739,0.458984,3.608641,0.000125
33,3330.47,100.91,257.86,2.100745,2.562018,0.600846,0.468641,0.755444,0.600846,0.585282,0.468641,0.45012,3.65788,0.000125
34,3432.47,101.97,255.18,2.089257,2.562683,0.60538,0.479312,0.759146,0.60538,0.589621,0.479312,0.465458,3.723341,0.000125
35,3534.55,102.01,255.09,2.076676,2.566133,0.608032,0.47561,0.751742,0.608032,0.592342,0.47561,0.459133,3.75209,0.000125
36,3636.71,102.13,254.77,2.064121,2.554346,0.614527,0.474956,0.760671,0.614527,0.598385,0.474956,0.456064,3.794822,0.000125
37,3738.41,101.66,255.95,2.058254,2.562226,0.616218,0.473432,0.76176,0.616218,0.60046,0.473432,0.45741,3.824675,0.000125
